Response ID,Response Status,Time Taken to Complete (Seconds),Country Code,Gender,Age,Job,Carer,I'm my own boss,"If I work hard, I will succeed",Whether at work or in my private life: what I do is mainly determined by others,Fate often gets in the way of my plans,I delay making decisions until it's too late,Even after I make a decision I delay acting upon it,I waste a lot of time on trivial matters before getting to the final decisions,"In preparation for some deadlines, I often waste time by doing other things","Even jobs that require little else except sitting down and doing them, I find that they seldom get done for days",I often find myself performing tasks that I had intended to do days before,I am continually saying ‘’I’ll do it tomorrow,I generally delay before starting on work I have to do,I find myself running out of time,I don’t get things done on time,I am not very good at meeting deadlines,Putting things off till the last minute has cost me money in the past,There aren’t enough hours in the day,I have enough time to do the things that I want to do,I feel pressured to fit everything in,The days fly by without me ever getting everything done,I am often in a hurry,I feel in control of how I spend my time,I should have more free time to do the things I enjoy,I worry about how well I use my time,I have enough time to properly prepare for things,I think I wont finish work that I set out to do,I feel disappointed with how I spend my time,I always run out of time,I feel rushed to do the things that I have to do,IM1,IM2,IM3,IM4,IM5,Using digital technology helps me to deepen relationships with others,Using digital technology enhances my mental wellbeing,I am able to improve my mood using digital technology.,Using digital technology makes it easy to complete tasks in my life,Using digital technology makes my life enjoyable,Using digital technology makes me feel closer to people,Using digital technology enables me to do more with less effort,By using digital technology I save time on everyday tasks,Using digital technology makes me feel supported by other people,Using digital technology helps me feel part of other people's lives,Using digital technology makes me feel more connected to other people,Using digital technology helps me to bond with others,Using digital technology helps me to take care of my mental wellbeing,Digital technology use increases my sense of belonging to a group,Using digital technology strengthens my attachment to others,Using digital technology saves my time,Using digital technology makes my social life more fulfilling,Using digital technology helps me to relax,I can meet my needs more quickly using digital technology,I feel closer to people like me because I use digital technology,I complete tasks more quickly when using digital technology,I achieve more in less time when I use digital technology,Using digital technology helps me to complete tasks efficiently,I find it easy to form deep connections with others when using digital technology,I experience a greater sense of community thanks to using digital technology,Using digital technology makes my life easier
43978558,Completed,1739,GB,1,22,1,2,4,4,3,2,2,4,4,4,2,4,4,4,4,4,4,5,5,2,4,5,4,4,5,4,4,2,4,4,4,30,85,85,75,88,4,1,4,2,4,4,5,2,4,4,4,4,1,4,4,4,2,2,4,4,2,4,4,2,4,4
44241654,Completed,190,GB,2,21,2,2,4,4,2,4,2,4,2,2,2,4,4,4,5,2,2,4,5,2,4,4,4,2,4,4,2,4,4,4,4,80,6,91,100,60,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
44242514,Completed,438,GB,1,28,2,2,3,4,2,3,3,4,5,4,3,4,4,3,3,2,2,4,4,3,3,4,3,3,2,4,4,3,4,3,4,75,100,85,85,70,3,3,4,4,4,3,4,3,2,3,4,4,4,4,3,4,3,4,4,3,4,3,4,2,3,4
44248026,Completed,243,GB,1,19,2,2,2,4,3,2,3,3,3,4,3,3,2,4,3,1,1,2,3,4,4,4,3,3,4,4,3,3,3,3,4,62,70,58,58,54,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,2,3,4,3,4,3
44249975,Completed,227,GB,1,18,5,2,3,4,2,3,2,3,5,5,4,5,5,5,3,1,1,2,4,4,4,5,3,4,4,3,3,2,3,2,2,79,64,76,43,96,4,4,4,5,5,5,5,5,4,3,4,4,3,4,4,5,4,4,4,3,4,5,3,4,5,4
44278991,Completed,587,GB,1,40,5,2,1,4,2,1,2,3,3,4,4,4,4,4,3,2,1,2,4,3,4,2,2,2,2,5,5,4,4,2,3,10,86,22,50,76,3,2,2,4,3,4,3,3,1,1,4,3,1,2,1,4,2,2,3,2,4,4,4,2,2,4
44281181,Completed,268,GB,1,18,3,2,4,4,2,2,3,3,4,4,2,3,2,4,4,2,1,2,5,3,4,2,4,3,5,5,3,3,2,4,4,80,100,70,100,39,3,3,3,4,3,3,4,4,3,4,3,3,3,2,3,4,2,4,4,3,5,5,5,3,3,4
44282635,Completed,297,GB,2,18,2,2,3,5,2,2,2,2,2,4,2,3,4,4,3,2,2,1,2,4,4,3,2,3,3,2,4,2,2,2,2,67,78,86,50,78,4,4,4,5,5,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,5
44286416,Completed,355,GB,1,21,2,2,1,4,3,3,2,2,2,4,4,3,2,3,2,2,3,1,2,4,2,2,2,4,3,4,4,2,2,2,2,40,90,75,50,55,4,4,5,5,4,5,4,4,4,3,5,4,3,4,4,2,3,5,4,3,4,4,4,4,5,4
44300568,Completed,353,GB,2,33,5,2,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,2,4,4,2,4,4,4,4,70,45,48,60,75,5,2,3,3,3,2,3,4,4,4,4,4,1,4,4,2,2,2,2,3,3,4,4,4,3,3
44302875,Completed,535,GB,1,20,2,2,4,4,2,3,4,2,5,5,5,5,5,5,5,2,2,4,2,2,2,3,4,4,3,5,4,4,5,5,5,65,29,94,74,61,4,3,4,2,4,4,4,3,4,5,5,5,4,4,4,2,4,4,2,4,2,3,3,4,4,4
44304129,Completed,1661,GB,1,21,5,2,4,5,2,3,4,4,3,4,2,4,2,4,5,4,5,2,5,4,4,3,2,4,2,5,2,3,2,4,4,50,50,40,65,75,4,3,4,5,4,5,4,4,5,2,4,4,3,2,3,5,3,5,4,3,4,4,3,4,3,5
44309198,Completed,311,GB,1,18,5,2,3,5,1,1,2,3,3,2,2,2,3,2,2,2,2,1,3,4,2,2,2,4,3,5,4,2,4,2,2,17,70,52,66,81,1,1,3,5,3,1,3,5,3,5,4,1,2,1,1,3,3,3,4,3,3,3,4,2,2,4
44311396,Completed,238,GB,1,19,2,2,2,4,2,2,4,4,4,5,4,4,5,5,4,5,5,3,5,2,4,4,4,2,3,5,3,4,4,4,4,79,50,90,90,100,5,3,5,3,5,5,4,3,3,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4
44311735,Completed,685,US,1,18,5,2,4,5,2,2,5,5,4,5,4,5,5,5,4,5,4,1,4,3,4,3,4,3,5,4,3,4,4,4,4,30,12,80,65,47,3,2,3,4,3,3,4,4,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4,3,3,4
44311765,Completed,467,GB,1,18,5,2,4,5,3,4,5,5,5,4,3,3,4,2,4,4,3,3,5,3,2,4,4,2,4,3,3,3,3,3,4,50,100,80,60,50,4,3,5,5,4,4,3,3,3,4,4,4,3,4,4,3,4,4,4,4,4,3,3,3,3,4
